Start	Stop	Strand	Number of Genes	Genes
5089455	5094233	+	4	PA14_57140, apbA, PA14_57170, PA14_57180
5094303	5095939	-	2	PA14_57190, PA14_57200
5104093	5119587	-	14	ftsA, ftsQ, ddl, murC, murG, ftsW, murD, mraY, murF, murE, ftsI, ftsL, mraW, PA14_57460
5121267	5124652	+	4	PA14_57480, PA14_57490, gmhA, PA14_57510
5124709	5125745	-	2	sspB, sspA
5125831	5128417	-	3	PA14_57540, PA14_57560, PA14_57570
5128667	5129502	-	2	rpsI, rplM
5138285	5141115	-	2	cysN, cysD
5144637	5147017	-	2	hisC1, hisD
5147143	5149321	-	3	hisG, murA, PA14_57820
5149438	5152482	-	5	PA14_57830, PA14_57840, PA14_57850, PA14_57870, PA14_57880
5152896	5156235	+	5	PA14_57890, PA14_57900, PA14_57910, PA14_57920, PA14_57930
5158032	5159982	+	4	PA14_57950, ptsN, PA14_57970, PA14_57980
5160079	5163895	-	5	PA14_57990, sodM, PA14_58010, fumC, PA14_58040
5166046	5168339	-	2	PA14_58070, PA14_58080
5168388	5174329	-	3	PA14_58090, cafA, PA14_58110
5174419	5177022	-	3	mreD, mreC, mreB
5177262	5179019	+	2	gatC, gatA
5179126	5181426	+	3	gatB, PA14_58210, PA14_58220
5181541	5191812	-	6	PA14_58230, PA14_58240, PA14_58250, PA14_58260, PA14_58270, PA14_58290
5191975	5193829	-	2	PA14_58300, PA14_58320
5195069	5198374	+	2	PA14_58350, PA14_58360
5202483	5209587	+	6	PA14_58410, PA14_58420, PA14_58440, dppC, dppD, dppF
5210872	5213227	-	3	PA14_58515, PA14_58530, PA14_58540
5219801	5221299	+	2	PA14_58580, PA14_58600
5227647	5229046	-	2	PA14_58660, ampD
5233511	5234253	-	2	pilA, PA14_58740
5236082	5238883	+	4	pilC, pilD, coaE, PA14_58790
5239235	5240813	-	3	PA14_58810, PA14_58820, PA14_58830
5240946	5242217	+	3	PA14_58840, PA14_58850, PA14_58860
5245268	5251207	+	2	PA14_58890, PA14_58900
5251580	5257464	+	9	PA14_58910, PA14_58920, PA14_58930, PA14_58940, PA14_58950, PA14_58960, PA14_58970, PA14_58980, PA14_58990
5257636	5264752	+	11	PA14_59000, PA14_59010, PA14_59020, PA14_59030, PA14_59050, PA14_59060, PA14_59070, PA14_59090, PA14_59100, PA14_59110, PA14_59120
5265022	5266773	+	3	PA14_59130, PA14_59140, PA14_59150
5270777	5274636	+	2	PA14_59200, PA14_59210
5277443	5288085	+	10	pilL2, pilN2, pilO2, pilP2, pilQ2, pilR2, pilS2, pilT2, pilV2, pilM2
5292765	5297012	+	7	PA14_59470, PA14_59480, PA14_59490, PA14_59500, PA14_59510, PA14_59520, PA14_59530
5301490	5303844	+	3	PA14_59570, PA14_59580, PA14_59590
5304246	5306710	-	3	PA14_59610, PA14_59620, PA14_59630
5307321	5313089	+	7	PA14_59640, PA14_59650, PA14_59660, PA14_59670, PA14_59680, PA14_59690, PA14_59700
5313527	5314910	+	2	cupD1, cupD2
5317504	5319556	+	2	cupD4, cupD5
5319600	5327621	-	4	rcsB, rcsC, pvrR, PA14_59800
5327953	5330095	+	2	PA14_59820, PA14_59830
5332241	5340933	+	11	PA14_59860, PA14_59870, PA14_59880, PA14_59890, PA14_59900, PA14_59910, PA14_59920, PA14_59930, PA14_59940, PA14_59950, PA14_59960
5341357	5345975	+	5	PA14_59980, PA14_59990, PA14_60000, PA14_60010, PA14_60020
5346464	5347090	+	2	PA14_60040, PA14_60050
5348012	5352363	+	2	PA14_60070, PA14_60080
5353510	5355289	-	3	dtd, PA14_60110, dcd2
5355824	5358660	+	2	PA14_60130, PA14_60140
5362595	5364282	-	2	PA14_60200, rluD
5365571	5368789	+	3	PA14_60240, pilS, pilR
5371711	5376630	+	3	pilW, pilX, pilY1
5377450	5384843	-	6	ispH, PA14_60350, lspA, ileS, ribF, PA14_60390
5385469	5387063	-	2	PA14_60410, proB
5388497	5389089	-	2	rpmA, rplU
5393100	5394107	-	2	fklB, PA14_60520
5398633	5401036	+	2	PA14_60570, PA14_60580
5401030	5403235	-	2	PA14_60590, rtcR
5403895	5408181	+	4	PA14_60630, PA14_60650, PA14_60660, rtcA
5414255	5418872	-	4	PA14_60760, PA14_60770, PA14_60780, PA14_60790
5422102	5427869	-	3	oprJ, mexD, mexC
5434538	5438311	-	4	PA14_60900, PA14_60920, PA14_60930, PA14_60950
5442038	5444184	-	2	PA14_61020, katB
5448564	5454727	-	5	PA14_61110, PA14_61120, PA14_61130, PA14_61140, PA14_61150
5457101	5464854	-	2	PA14_61190, PA14_61200
5466256	5468812	+	2	PA14_61220, lysP
5476364	5476809	-	2	PA14_61340, PA14_61350
5483587	5484619	-	2	PA14_61450, PA14_61460
5484787	5486711	+	2	upp, uraA
5487031	5492825	+	6	PA14_61500, PA14_61510, PA14_61520, PA14_61530, PA14_61540, PA14_61550
5494480	5496416	-	2	hemH, PA14_61590
5497966	5501276	+	3	PA14_61610, PA14_61620, phr
5502057	5506796	-	5	murI, moeB, PA14_61680, prfA, hemA
5506940	5510184	+	3	PA14_61720, lolB, ipk
5511409	5513790	+	3	PA14_61780, pth, PA14_61820
5517418	5519365	-	2	PA14_61860, PA14_61870
5519564	5520714	-	2	rimI, PA14_61890
5520974	5523608	-	3	PA14_61910, PA14_61920, PA14_61940
5524691	5529517	+	3	PA14_61960, PA14_61980, PA14_61990
5529629	5532195	+	2	hitA, hitB
5532276	5535889	-	3	PA14_62020, PA14_62030, PA14_62040
5541735	5544232	-	3	PA14_62100, PA14_62110, pssA
5544387	5547664	-	3	ilvC, ilvH, ilvI
5548775	5552224	-	3	PA14_62180, PA14_62190, mrcB
5556302	5560968	-	5	PA14_62270, hmuV, PA14_62290, PA14_62300, PA14_62330
5567101	5568916	+	2	PA14_62410, PA14_62420
5569828	5572211	+	2	PA14_62440, trmA
5572245	5574124	-	2	PA14_62470, PA14_62480
5574317	5575712	+	2	dksA, PA14_62510
5575782	5580356	+	3	PA14_62520, cbrA, cbrB
5581256	5583144	+	2	pcnB, folK
5583394	5585516	+	3	panB, panC, panD
5590504	5594068	+	2	PA14_62650, PA14_62660
5594439	5595030	-	2	PA14_62680, PA14_62690
5597582	5599253	-	3	rpsO, truB, rbfA
5599356	5603387	-	2	infB, nusA
5604283	5605430	-	2	secG, tpiA
5605496	5609630	-	3	glmM, folP, ftsH
5610902	5616832	-	5	PA14_62890, greA, carB, PA14_62920, carA
5617015	5619011	-	2	dapB, dnaJ
5619127	5621690	-	2	dnaK, grpE
5624704	5625436	-	2	PA14_63040, PA14_63050
5629153	5633181	+	2	lldD, PA14_63100
5633510	5638579	+	6	PA14_63110, PA14_63120, PA14_63130, pmrA, pmrB, PA14_63170
5642400	5643569	-	2	PA14_63220, PA14_63230
5649525	5651262	+	3	PA14_63300, PA14_63310, PA14_63320
5652314	5654192	+	4	PA14_63340, PA14_63350, PA14_63360, PA14_63370
5655060	5656610	-	3	PA14_63390, PA14_63410, PA14_63420
5663163	5666491	-	2	selB, selA
5667632	5672348	-	3	fdnI, fdnH, fdnG
5676805	5678510	+	2	PA14_63660, PA14_63680
5678513	5681279	-	3	PA14_63700, PA14_63710, PA14_63720
5682853	5684876	-	2	PA14_63740, PA14_63750
5692539	5693706	+	2	PA14_63860, PA14_63880
5695402	5700483	-	4	PA14_63910, PA14_63920, PA14_63940, PA14_63960
5704768	5706378	-	2	PA14_64010, PA14_64030
5712489	5714793	+	3	aroQ1, accB, accC
5715852	5718109	+	2	prmA, PA14_64170
5718313	5721318	+	3	PA14_64180, fis, purH
5728528	5732047	+	3	PA14_64280, PA14_64290, PA14_64300
5732184	5737185	+	7	PA14_64310, PA14_64320, ureD, ureA, PA14_64360, ureB, ureC
5743847	5744576	+	2	PA14_64470, osmE
5749615	5750993	-	2	PA14_64540, PA14_64550
5751808	5753867	+	2	irlR, PA14_64580
5755394	5757603	-	2	PA14_64610, PA14_64620
5758621	5761019	+	4	ureE, ureF, ureG, ureJ
5761035	5762586	-	2	PA14_64690, PA14_64700
5767227	5770059	-	2	PA14_64740, PA14_64750
5774457	5776480	+	2	vanA, vanB
5776477	5778015	-	2	PA14_64820, PA14_64840
5778373	5783121	-	5	PA14_64850, PA14_64860, PA14_64870, PA14_64880, PA14_64890
5787767	5789079	-	2	PA14_64930, PA14_64940
5789189	5791906	+	3	pncA, pncB1, nadE
5796339	5799772	-	2	PA14_65050, PA14_65060
5807061	5809114	-	4	rplI, PA14_65160, rpsR, rpsF
5809333	5812799	-	2	PA14_65190, rnr
5814807	5816211	-	2	hisZ, PA14_65260
5816307	5820035	-	4	hflC, hflK, hflX, hfq
5821170	5826470	-	4	mutL, amiB, PA14_65380, PA14_65390
5829348	5831262	-	2	motB, motA
5832989	5834677	+	2	rhdA, psd
5835355	5838958	+	2	PA14_65520, PA14_65540
5840480	5842551	+	2	PA14_65570, PA14_65580
5843612	5849939	-	5	parC, PA14_65630, PA14_65640, parE, PA14_65670
5851044	5852110	-	2	PA14_65700, aspP
5857011	5864821	-	6	PA14_65760, aspC, PA14_65795, PA14_65810, PA14_65820, PA14_65840
5866676	5870439	-	3	PA14_65860, PA14_65870, PA14_65880
5875218	5877415	-	2	waaA, PA14_65970
5877500	5879877	+	3	qacH, PA14_66000, PA14_66010
5883665	5886941	-	2	rfaE, msbA
5887049	5888906	+	2	PA14_66090, PA14_66100
5889976	5896194	-	5	PA14_66120, PA14_66140, PA14_66150, PA14_66160, PA14_66170
5896298	5904267	-	8	PA14_66190, PA14_66200, PA14_66210, waaP, waaG, waaC, waaF, ilvE
5934144	5936271	+	2	PA14_66530, PA14_66540
5937636	5943543	-	2	gltD, gltB
5943768	5952103	-	8	PA14_66580, aroB, aroK, pilQ, pilP, pilO, pilN, pilM
5956226	5958429	-	2	PA14_66690, PA14_66700
5961348	5963841	+	2	argS, PA14_66760
5963960	5966331	+	3	hslV, hslU, PA14_66800
5969743	5972098	+	2	phaC2, PA14_66850
5972142	5973498	-	2	phaF, PA14_66880
5974053	5977062	+	3	ubiE, PA14_66910, ubiB
5977178	5980127	+	6	hisI, hisE, tatA, tatB, tatC, PA14_66990
5982861	5985416	-	3	PA14_67030, PA14_67040, PA14_67050
5985654	5989809	-	2	mdoH, mdoG
5990266	5991671	-	2	PA14_67100, PA14_67110
5993276	5994901	-	2	PA14_67140, PA14_67150
5995985	6004104	-	6	PA14_67180, PA14_67190, PA14_67200, PA14_67210, PA14_67220, PA14_67230
6004374	6010572	-	6	hutG, hutI, PA14_67260, PA14_67270, PA14_67280, PA14_67300
6010690	6015224	-	3	PA14_67310, hutH, PA14_67340
6017336	6020128	-	3	PA14_67370, PA14_67380, PA14_67400
6020270	6021609	-	2	PA14_67410, hutC
6023214	6025727	-	4	blc, PA14_67460, PA14_67470, fbp
6028600	6033596	-	2	PA14_67520, PA14_67530
6043190	6044280	+	2	PA14_67640, PA14_67650
6044551	6047060	+	2	ntrB, ntrC
6048769	6049972	-	3	secB, grx, PA14_67750
6053126	6058074	+	4	PA14_67790, PA14_67810, PA14_67820, PA14_67830
6059020	6060609	-	2	PA14_67850, PA14_67860
6060781	6063843	-	5	hisF1, hisA, PA14_67900, hisH, hisB
6064004	6065778	+	3	PA14_67940, PA14_67960, PA14_67970
6065872	6069188	+	2	PA14_67975, mutY
6072697	6075683	+	4	PA14_68060, PA14_68070, PA14_68080, PA14_68090
6077376	6082067	+	4	PA14_68110, PA14_68120, PA14_68130, PA14_68140
6082452	6089121	+	6	rmlB, rmlD, rmlA, rmlC, PA14_68230, PA14_68250
6089362	6092288	+	3	PA14_68260, PA14_68280, PA14_68290
6093086	6097895	+	4	arcD, arcA, arcB, arcC
6100299	6101683	-	2	cysQ, nudE
6104117	6107285	+	2	PA14_68430, PA14_68440
6109662	6114345	-	4	PA14_68490, PA14_68500, PA14_68510, PA14_68530
6123449	6125606	-	2	envZ, ompR
6125795	6128535	+	2	PA14_68710, PA14_68720
6133932	6135924	-	2	PA14_68780, PA14_68800
6136038	6139224	+	2	PA14_68810, PA14_68820
6145113	6147798	-	2	PA14_68890, PA14_68900
6148877	6150930	+	2	PA14_68930, PA14_68940
6150967	6155790	-	5	PA14_68955, PA14_68970, ubiH, pepP, PA14_69010
6155877	6156499	+	2	PA14_69020, PA14_69030
6158167	6163115	-	3	PA14_69060, PA14_69070, PA14_69090
6166506	6168940	-	2	PA14_69140, PA14_69150
6174599	6177840	-	2	ppk, hemB
6178839	6180076	+	2	PA14_69260, PA14_69270
6183475	6186734	-	3	PA14_69320, PA14_69330, PA14_69340
6190564	6194649	-	4	PA14_69420, PA14_69430, hemD, hemC
6194758	6196585	-	2	algR, algZ
6199461	6205895	-	3	PA14_69520, PA14_69540, PA14_69550
6207985	6209160	+	2	PA14_69580, PA14_69590
6209585	6213176	+	2	cyaA, PA14_69620
6214536	6219133	+	6	lppL, lysA, dapF, PA14_69700, xerC, PA14_69720
6223248	6224068	-	2	PA14_69770, PA14_69780
6224329	6226035	-	2	amtB, glnK
6245099	6246725	-	2	PA14_70010, dadA
6247082	6250215	-	3	PA14_70050, PA14_70060, PA14_70070
6251036	6254030	+	2	PA14_70100, PA14_70110
6257067	6258829	+	2	PA14_70160, PA14_70170
6258966	6259369	-	2	rpmG, rpmB
6262382	6267615	+	4	coaC, dut, algC, argB
6273680	6274959	-	2	PA14_70360, pyrE
6275878	6277015	-	2	PA14_70400, rph
6277196	6278729	+	2	PA14_70430, gmk
6278818	6281255	+	2	rpoZ, spoT
6281317	6282483	+	2	PA14_70480, PA14_70490
6283177	6284828	-	2	PA14_70530, PA14_70550
6284966	6287970	+	2	PA14_70560, recG
6292401	6296621	-	4	PA14_70650, glcF, glcE, glcD
6297661	6299114	+	2	ubiC, ubiA
6305306	6310708	-	4	phoU, pstB, pstA, pstC
6322104	6324230	-	2	betB, betI
6326330	6328351	-	2	PA14_71000, PA14_71020
6335270	6336750	-	2	PA14_71110, PA14_71120
6342074	6344536	-	3	PA14_71190, PA14_71200, PA14_71210
6348251	6350857	+	2	PA14_71250, PA14_71260
6353285	6355080	+	2	PA14_71300, PA14_71310
6355205	6357287	+	6	PA14_71320, PA14_71330, PA14_71340, PA14_71350, PA14_71360, PA14_71370
6357284	6358025	-	2	PA14_71380, PA14_71390
6364967	6366732	-	2	ltaA, PA14_71450
6366948	6374601	+	6	glyA1, soxB, soxD, soxA, soxG, purU2
6378082	6379686	-	2	purK, purE
6383971	6386697	-	2	PA14_71670, PA14_71680
6386825	6387957	+	2	PA14_71690, PA14_71700
6389416	6392670	-	2	PA14_71720, PA14_71740
6397997	6403831	-	3	PA14_71830, PA14_71840, PA14_71850
6404008	6406660	+	2	uvrD, PA14_71880
6408888	6417911	-	8	wbpZ, wbpY, wbpX, wzt, wzm, wbpW, gmd, rmd
6418319	6424071	+	5	PA14_72010, PA14_72020, PA14_72030, PA14_72040, PA14_72050
6424984	6427593	+	3	PA14_72080, PA14_72090, PA14_72110
6428188	6429491	+	2	PA14_72140, PA14_72150
6429771	6431860	+	2	PA14_72170, PA14_72180
6431866	6433616	-	2	prfH, PA14_72210
6445141	6445791	-	2	PA14_72360, PA14_72370
6446259	6449392	+	2	algB, PA14_72390
6449427	6450829	-	2	PA14_72400, PA14_72410
6450947	6454488	-	3	PA14_72420, PA14_72430, dsbA
6459514	6460788	+	2	PA14_72500, thrB
6461404	6464314	-	2	PA14_72520, PA14_72540
6465417	6467510	+	3	np20, znuC, znuB
6468547	6471090	+	3	metN, PA14_72630, PA14_72640
6471293	6474872	+	4	PA14_72650, PA14_72660, PA14_72690, PA14_72700
6476342	6479448	-	2	PA14_72720, PA14_72740
6482718	6485007	-	2	PA14_72790, PA14_72800
6486029	6486767	+	2	PA14_72820, PA14_72830
6486815	6490389	-	3	PA14_72840, PA14_72850, PA14_72870
6490547	6492074	+	2	PA14_72880, PA14_72890
6500848	6503107	-	3	PA14_73000, PA14_73010, PA14_73020
6504907	6507700	+	3	PA14_73050, PA14_73060, pyrQ
6507745	6511495	-	3	PA14_73090, PA14_73100, PA14_73110
6516367	6518991	-	2	glmS, glmR
6519059	6520946	-	2	PA14_73200, glmU
6521067	6526433	-	6	atpC, atpD, atpG, atpA, atpH, atpF
6526491	6528064	-	3	atpE, atpB, atpI
6528228	6532453	-	4	parB, soj, gidB, gidA
